,Manhattan,Staten Island,Brooklyn,Queens,Bronx,EWR
154,23728.116179061788,30858.616692946507,10327.25426717039,30286.408622824485,3561.234920717838,10327.418861749578
155,23098.830425623128,29865.591206117897,9570.594440523675,29336.505691040824,3149.897368977504,9570.862107642064
156,23281.193146087226,30124.89394622899,9549.680947451387,29587.01814951028,3181.116581044838,9550.382938109551
157,24497.396272859754,31851.649278123157,10235.787398776933,31263.13668564795,3554.742586065813,10237.104678125312
158,26332.8494903579,34341.056671905586,11208.68003336598,33701.09938031581,3974.9939342095245,11210.56457723
159,28272.299389863518,36748.486064539014,12048.86745316877,36092.396231202234,4206.172802146799,12051.102328274177
160,30038.67733063287,38641.810514320314,12573.539720757519,38012.34279894371,4211.627361185443,12575.865219499174
161,31542.62616072025,39999.13607434078,12807.19425206483,39421.78424297037,4098.774459576085,12809.412372839179
162,32661.11527850878,40878.17685004746,12829.982493055888,40357.439404879,3973.305718821296,12831.997934356941
163,33154.180193328626,41176.99176911652,12689.85976201162,40708.12700570839,3856.1851559284696,12691.664928370725
164,32779.25913372518,40654.04947036533,12411.544626646906,40233.58689823857,3713.8206855021945,12413.171627315704
165,31405.850968511226,39046.33844360415,11998.288181003492,38672.774085161094,3523.5023200143523,11999.744516919242
166,28968.580843460993,36096.5748760386,11364.276296151551,35767.45773664355,3279.989030080996,11365.485062727774
167,25363.17148717751,31553.88979816157,10290.923654253547,31268.814336705596,2948.2780934219595,10291.707735226726
168,20542.97492038765,25376.827557285644,8555.837896962863,25144.461956663064,2456.273855321176,8555.987482192864
169,14880.169999409196,18167.4798710758,6226.53347722797,18003.554950910904,1786.6112730663897,6225.948643343801
170,9479.590752721466,11468.395649793256,3879.241022070294,11376.557546649481,1097.4435805074538,3878.0682641476305
171,5995.870158388608,7429.836218199307,2459.997815562633,7376.611976378301,722.9364869289877,2458.648075625285
172,5842.257962786143,7770.605896785997,2760.3464092379945,7679.58411801317,983.9041543776646,2759.3415653184115
173,9251.404446797931,12626.79878530938,4841.2660431285485,12407.54931468772,1923.3531806608196,4840.983911725405
174,14920.098165959165,20180.0742190884,7866.924608868259,19778.48843463011,3192.741023572544,7867.4044725063895
175,20621.551508159457,27505.60149759966,10542.3704562588,26939.439564491993,4224.13431196977,10543.317595249086
176,24436.93895572344,32171.522544950283,11881.05655619931,31521.21656239507,4589.916356449186,11882.050623809875
177,25757.718514754102,33508.58646727664,11755.784987634324,32866.715185133406,4280.171744026824,11756.552732154645
178,25383.36183424314,32695.531247055973,10852.176438937693,32111.313770532077,3680.7877721605355,10852.747257249663
179,24743.51077945396,31702.818779926383,10109.364441206908,31161.77122043244,3275.4314397024673,10110.018614014418
180,24908.28886334889,31957.378272525515,10103.047515067798,31407.45469327044,3313.490929457383,10104.11572583577
181,26099.917727518252,33674.37772714678,10804.520197881793,33073.580910813704,3694.8602260058146,10806.183073361066
182,27904.61297097961,36149.921699156206,11793.817383939708,35497.25983943667,4123.9255417972,11796.026698314457
183,29808.163073534648,38540.505256735145,12651.72156625876,37871.08125251094,4365.09979450459,12654.260263191167
184,31534.43144517042,40414.8890168502,13195.555629382437,39771.2460095926,4381.687056221409,13198.163929914475
185,32994.92354335293,41751.82200147882,13449.825954027287,41159.25991488134,4280.944635104813,13452.305814100775
186,34067.61084988335,42609.67590307825,13494.661550163411,42072.522454707076,4168.392970904514,13496.91762447954
187,34513.739692419076,42887.36501314425,13378.016731474865,42400.72533626984,4064.8728078947092,13380.041357228429
188,34092.03826306615,42344.38131257609,13124.623335635932,41904.64477921579,3936.696342156277,13126.448533096886
189,32673.243130402774,40718.79360892783,12737.75709148567,40324.33160225285,3761.0402465039647,12739.390264829794
190,30193.193477742418,37754.417561760565,12131.67963364619,37402.675069793804,3532.5290983308064,12133.043765683142
191,26548.887029187357,33201.485891217766,11087.957425806027,32891.97408450162,3216.0394737828865,11088.8752251619
192,21694.895515583157,27019.46427859366,9384.344077846014,26760.78374069612,2739.375323224178,9384.605440775878
193,16004.181357243502,19810.813904514867,7088.310560194695,19618.642231080026,2085.0280587086754,7087.815142106259
194,10581.59219315133,13117.641657708951,4775.717147115611,12995.596297026561,1410.8803171773177,4774.610959181813
195,7081.166734545355,9089.209861133531,3391.9874154855524,9003.831120667224,1050.7013956918097,3390.680951368617
196,6915.722423363654,9443.59850756157,3728.1284773089283,9318.539860106566,1324.9188221178308,3727.143247668231
197,10318.557763780076,14317.376103247596,5845.016160346968,14062.313853602833,2276.3510945524795,5844.729628787975
198,15988.526893352446,21894.16402845252,8907.247815552719,21455.11256994192,3556.5482406772185,8907.698774155653
199,21701.697370895905,29251.875808279197,11620.562150856882,28646.714816433967,4597.829946286498,11621.455115230869
200,25541.643786018052,33960.862101780454,12998.88788190795,33270.14320390471,4972.740100461562,12999.801443734988
201,26900.75487890454,35352.49820912165,12914.946679327628,34668.946649664285,4671.236570562895,12915.606339076341
202,26577.854352868013,34604.48714636207,12053.750444579153,33977.5254637644,4078.809494157025,12054.184336515638
203,26001.124613179625,33685.45008576875,11353.640403013527,33100.86388434507,3678.670443435746,11354.127659816962
204,26239.399461411635,34020.755217135455,11389.720125633432,33426.81530598718,3719.9300951811683,11390.590430388816
205,27514.263952880814,35824.83250329939,12133.035601246138,35179.87417550985,4102.46548746811,12134.468688571733
206,29411.736960076505,38393.632492282355,13163.588497150733,37696.99173464083,4530.798436485913,13165.535310220848
207,31417.316167549892,40883.44615689967,14062.102202727672,40170.55140294758,4769.449966732293,14064.344904731139
208,33254.145581739635,42862.333860133585,14645.670301004713,42176.06879743572,4781.707103936671,14647.948405300736
209,34832.639186154214,44307.85690587234,14938.419551147896,43673.8907506048,4674.7242976727575,14940.534405780836
210,36029.53466681684,45276.99071386277,15020.044803273604,44700.04810036964,4553.936735454242,15021.900574234567
211,36604.796788088526,45667.25137950981,14938.068461332361,45142.84981577538,4440.17636710394,14939.65714270047
212,36315.724276072724,45236.72793294657,14716.790094234851,44761.67314790924,4299.801687321247,14718.143557397463
213,35031.37818384333,43722.00061045861,14359.05498242036,43295.079857358265,4110.044274785652,14360.180734811276
214,32685.741392637898,40865.305994981616,13778.741469723393,40484.37784625101,3865.587191581606,13779.562882041353
215,29173.89875974753,36415.22560690451,12757.110765160183,36080.205822003176,3531.401957753065,12757.451208203984
216,24448.378392288363,30329.356498422803,11071.613764931628,30049.22958773242,3035.428430925108,11071.264046815015
217,18879.631422385766,23207.740996091754,8789.244226248606,22998.54015371036,2360.269101132664,8788.105180639233
218,13569.238031236126,16589.296982204414,6485.080068696118,16454.971089413142,1663.8064205549426,6483.299236097429
219,10167.421433597116,12619.622246088264,5103.547753232182,12527.030729050095,1279.6967737702432,5101.537619092899
220,10083.451592955473,13013.528413295033,5434.770999869272,12886.63614723431,1528.2748031100289,5433.055580752874
221,13548.311871667367,17905.67525182424,7539.216487795428,17654.447724092555,2452.471958731631,7538.176199803246
222,19260.155133381126,25479.462193184914,10581.654076119892,25050.151878095967,3704.2361757547105,10581.330949959452
223,24995.376791743314,32813.59871238033,13268.310940145017,32224.24904605741,4716.446762913373,13268.412863559235
224,28837.70455236429,37478.96602685486,14613.450602351888,36810.219178514584,5062.112921040859,14613.55962665564
225,30178.529208902797,38806.189272971045,14489.639761208264,38150.81311354178,4731.365668226265,14489.485013945825
226,29814.450788160382,37970.89054191514,13581.278197715124,37378.33145291633,4109.590021996164,13580.891741319656
227,29171.00027504467,36939.15977007097,12825.986946773792,36395.21752175321,3679.823467956669,12825.652228037085
228,29314.940114192657,37134.49018402446,12798.425695212401,36587.422088903884,3691.1670760381594,12798.47707950298
229,30466.86932036962,38770.653194661514,13469.624619651533,38178.72355625797,4043.732815169911,13470.246796059406
230,32212.709643144608,41143.93059504441,14419.86844760663,40506.32892147012,4442.411566890052,14421.017477126838
231,34038.22820917535,43411.307846178395,15230.222293455967,42763.24635642042,4652.045327860775,15231.685543726318
232,35666.87656770464,45141.45961148796,15718.035874798072,44525.557386862914,4636.094403852233,15719.558102737039
233,37009.471300668854,46312.48759377639,15907.625481039424,45754.119403847886,4501.776486963743,15909.013271790745
234,37943.47218443288,46982.10512613388,15878.902808490622,46485.67570755388,4354.5819772009145,15880.06550362745
235,38229.96907002403,47048.95779943503,15679.68837526146,46609.63329599066,4215.447736374139,15680.623033920327
236,37627.67190279185,46272.63532902596,15334.654716046065,45886.83389054703,4050.864682631072,15335.398137385193
237,36007.218674796895,44391.48655218906,14847.092353040285,44057.574402066464,3838.177327581932,14847.656818485699
