,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,hourly,hourly_lower,hourly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
210,2024-08-09 18:00:00,3457.2845433065154,3920.275404895878,5758.908125981359,3457.2845433065154,3457.2845433065154,0.2834007349980596,0.2834007349980596,0.2834007349980596,0.0037069993669336413,0.0037069993669336413,0.0037069993669336413,0.40064000092463065,0.40064000092463065,0.40064000092463065,0.14338007999989377,0.14338007999989377,0.14338007999989377,-0.029847813440256374,-0.029847813440256374,-0.029847813440256374,0.0,0.0,0.0,4842.411025933549
211,2024-08-09 19:00:00,3457.3116357743284,3890.4442218936274,5695.971325052251,3457.3116357743284,3457.3116357743284,0.2576619364834249,0.2576619364834249,0.2576619364834249,0.003382596923404278,0.003382596923404278,0.003382596923404278,0.37729738371068877,0.37729738371068877,0.37729738371068877,0.14628165991594572,0.14628165991594572,0.14628165991594572,-0.03002880961208607,-0.03002880961208607,-0.03002880961208607,0.0,0.0,0.0,4761.746270624504
212,2024-08-09 20:00:00,3457.33872824214,3732.184123726337,5545.394855929906,3457.33872824214,3457.33872824214,0.21990174476478494,0.21990174476478494,0.21990174476478494,0.003029784620202893,0.003029784620202893,0.003029784620202893,0.3415381874073415,0.3415381874073415,0.3415381874073415,0.1488165632044792,0.1488165632044792,0.1488165632044792,-0.0302099051821255,-0.0302099051821255,-0.0302099051821255,0.0,0.0,0.0,4638.151930739164
213,2024-08-09 21:00:00,3457.365820709952,3525.116144608768,5422.365867561605,3457.365820709952,3457.365820709952,0.16066004692236438,0.16066004692236438,0.16066004692236438,0.0026505512336170364,0.0026505512336170364,0.0026505512336170364,0.28388991865923624,0.28388991865923624,0.28388991865923624,0.15097041398465105,0.15097041398465105,0.15097041398465105,-0.030391093481396264,-0.030391093481396264,-0.030391093481396264,0.0,0.0,0.0,4438.877122326524
214,2024-08-09 22:00:00,3457.392913177764,3261.576817650045,5122.941343310883,3457.392913177764,3457.392913177764,0.07828426828955475,0.07828426828955475,0.07828426828955475,0.0022471138099815213,0.0022471138099815213,0.0022471138099815213,0.20268975657455818,0.20268975657455818,0.20268975657455818,0.15273074231731906,0.15273074231731906,0.15273074231731906,-0.03057236784229713,-0.03057236784229713,-0.03057236784229713,0.0,0.0,0.0,4158.1710411323675
215,2024-08-09 23:00:00,3457.4200056455757,2930.6848583189844,4648.7575399799125,3457.4200056455757,3457.4200056455757,-0.033681790563444725,-0.033681790563444725,-0.033681790563444725,0.001821904963549585,0.001821904963549585,0.001821904963549585,0.09147345201518403,0.09147345201518403,0.09147345201518403,0.15408705921408128,0.15408705921408128,0.15408705921408128,-0.030753721599002113,-0.030753721599002113,-0.030753721599002113,0.0,0.0,0.0,3773.682148628334
216,2024-08-10 00:00:00,3457.4470981133886,2278.0196256921904,4088.697965999647,3457.4470981133886,3457.4470981133886,-0.1912418649971716,-0.1912418649971716,-0.1912418649971716,0.0013775584738866821,0.0013775584738866821,0.0013775584738866821,-0.06576853890055215,-0.06576853890055215,-0.06576853890055215,0.15503091571052824,0.15503091571052824,0.15503091571052824,-0.030935148087795416,-0.030935148087795416,-0.030935148087795416,0.0,0.0,0.0,3230.055854144517
217,2024-08-10 01:00:00,3457.4741905812,1595.8907356182656,3381.2962182942656,3457.4741905812,3457.4741905812,-0.3978772915921641,-0.3978772915921641,-0.3978772915921641,0.0009168932749528845,0.0009168932749528845,0.0009168932749528845,-0.27252109328589913,-0.27252109328589913,-0.27252109328589913,0.15555594567860986,0.15555594567860986,0.15555594567860986,-0.03111664064729781,-0.03111664064729781,-0.03111664064729781,0.0,0.0,0.0,2515.2395441562326
218,2024-08-10 02:00:00,3457.5012830490123,904.5451429725938,2649.2267831243516,3457.5012830490123,3457.5012830490123,-0.6115487005339001,-0.6115487005339001,-0.6115487005339001,0.0004428959391724954,0.0004428959391724954,0.0004428959391724954,-0.4867461049951848,-0.4867461049951848,-0.4867461049951848,0.1556578922183133,0.1556578922183133,0.1556578922183133,-0.031298192618770454,-0.031298192618770454,-0.031298192618770454,0.0,0.0,0.0,1774.5760005090517
219,2024-08-10 03:00:00,3457.5283755168243,461.96407462648034,2216.3637026551573,3457.5283755168243,3457.5283755168243,-0.7412390042626659,-0.7412390042626659,-0.7412390042626659,-4.129822751818956e-05,-4.129822751818956e-05,-4.129822751818956e-05,-0.6174254822100153,-0.6174254822100153,-0.6174254822100153,0.15533461762671844,0.15533461762671844,0.15533461762671844,-0.03147979734654965,-0.03147979734654965,-0.03147979734654965,0.0,0.0,0.0,1322.7622510085384
220,2024-08-10 04:00:00,3457.5554679846364,544.8506017434444,2338.2403038739712,3457.5554679846364,3457.5554679846364,-0.6953618797630485,-0.6953618797630485,-0.6953618797630485,-0.0005324253522536325,-0.0005324253522536325,-0.0005324253522536325,-0.5729696561872468,-0.5729696561872468,-0.5729696561872468,0.15458609710623777,0.15458609710623777,0.15458609710623777,-0.03166144817818238,-0.03166144817818238,-0.03166144817818238,0.0,0.0,0.0,1476.481100245144
